id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
11,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/PGZ5XE,v1.0,Katherine Wisener - Project data for study 3,"<B>Title</B><BR><BR>Upward Feedback: Exploring learner perspectives on giving feedback to their teachers.<BR><BR>
<B>Summary</B><BR><BR>Feedback from learners is known to be an important motivator for medical teachers, but it can be de-motivating if delivered poorly, leaving teachers frustrated and uncertain. Research has identified challenges learners face in providing upward feedback, but has not explored how challenges influence learners’ goals and approaches to giving feedback. This study explored learner perspectives on providing feedback to teachers to advance understanding of how to optimize upward feedback quality. The datafile, <I>Study 3_Student Feedback to Teachers.nvpx</I>,  is an NVivo file containing interview transcripts with 16 medical student participants.<BR><BR>",,doi:10.34894/PGZ5XE,2024-06-03T12:33:36Z,2026-04-14T17:45:04.799180+00:00,DANS,doi_10.34894_PGZ5XE_Katherine_Wisener_-_Project_data_for_study_3,v1.0,API-CALL
12,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/S2EXCW,v1.0,Katherine Wisener - Projectdata for study 2,"<B>Title</B><BR><BR>Incentives for clinical teachers: On why their complex influences should lead us to proceed with caution.<BR><BR>
<B>Summary</B><BR><BR>When medical education programs have difficulties recruiting or retaining clinical teachers, they often introduce incentives to help improve motivation. Previous research, however, has shown incentives can unfortunately have unintended consequences. When and why that is the case in the context of incentivizing clinical teachers remains unclear. The purposes of this study, therefore, were to understand what values and motivations influence teaching decisions; to delve deeper into how teaching incentives have been perceived; and, to provide recommendations to those seeking to better support clinician teachers. An interpretive description methodology was used to improve understanding of the development and delivery of teaching incentives. A purposeful sampling strategy identified a heterogenous sample of clinical faculty teaching in undergraduate and postgraduate contexts. The datafile, <I>Study 2_Incentives and Motivations.nvpx</I>,  is an NVivo file containing interview transcripts with 16 faculty participants.<BR><BR>",,doi:10.34894/S2EXCW,2024-06-03T12:35:16Z,2026-04-14T17:45:04.957091+00:00,DANS,doi_10.34894_S2EXCW_Katherine_Wisener_-_Projectdata_for_study_2,v1.0,API-CALL
13,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/MPPWLR,v2.0,Evidence-based Management Decision-Making Process in Hospital Settings,"Evidence-based Management (EBMgt) refers to using the best
available evidence when making managerial decisions. There is
limited knowledge about the EBMgt process in different contexts.
As such, the aim of the study is to build a grounded model that can
help us better understand the evidence-based decision-making
process and its contextual nuances within hospital settings. We
explored the following three research questions among managers
in hospital settings: (1) How is the EBMgt process manifested in
practice? (2) What are the sources of evidence in EBMgt? (3) What
contextual factors influence the process of EBMgt? To answer
these questions, we collected qualitative data from executive
managers working in multiple hospitals across Lebanon and used it
to develop a grounded model of the EBMgt process. We collected
data through interviews and the critical incident technique.",English,doi:10.34894/MPPWLR,2020-10-26T08:13:24Z,2026-04-14T17:45:05.092305+00:00,DANS,doi_10.34894_MPPWLR_Evidence-based_Management_Decision-Making_Process_in_Hospital_Settings,v2.0,API-CALL
14,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/BYUQTG,v1.0,Road to Consumption,"Qualitative data for still unpublished paper ""Road to Consumption: Consumer Leftover Food Strategies""",,doi:10.34894/BYUQTG,2024-03-27T12:45:13Z,2026-04-14T17:45:08.808020+00:00,DANS,doi_10.34894_BYUQTG_Road_to_Consumption,v1.0,API-CALL
15,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/EVYRHA,v1.1,Tiuri van Rossum - PhD project data for study 3,Study 3: Who owns responsibility? An administrator’s take on the implementation of Time variable medical training. Qualitative interview study to describe the strategy of teaching hospital administrators regarding the implementation of time variable medical training and change in postgraduate medical training in general. Administrators responsible for education and finance of eight dutch teaching hospitals (academic and non-academic) where included.,,doi:10.34894/EVYRHA,2019-06-19T07:35:38Z,2026-04-14T17:45:08.930825+00:00,DANS,doi_10.34894_EVYRHA_Tiuri_van_Rossum_-_PhD_project_data_for_study_3,v1.1,API-CALL
16,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/DB6OJ9,v1.0,Study 3: Second Language Learning Role-Play: Effects of Patient and Doctor Roles on Motivation and Competence,"<B>Summary of the Study:</B><BR>
This study investigated whether <B>role-play in simulated medical consultations</B>, where students alternated between doctor and patient roles, influences <B>intrinsic motivation, relatedness</B>, and <B>competence</B> in learning <B>medical Dutch</B> as a second language (L2). It also explored whether playing the patient role adds educational value.<BR>
•	<B>Design</B>: Mixed-methods, one-group pretest–posttest design.<BR>
•	<B>Participants</B>: 15 third-year international medical students enrolled in a six-week Medical Dutch course.<BR>
•	<B>Procedure</B>:<BR>
o	Each session: 1.5 hours teaching + 0.5 hours peer role-play (doctor ↔ patient).<BR>
o	Over the course, each student acted six times as a doctor and six times as a patient.<BR>
o	Instruments:<BR>
	<I>Intrinsic Motivation to Experience Stimulation (IMES)</I> scale.<BR>
	<I>Basic Psychological Need Satisfaction</I>scale (relatedness, competence).<BR>
	Peer-assessment checklist.<BR>
	Final course grades.<BR>
	<I>Semi-structured interviews</I> about patient role experiences .<BR>
o	Analysis: Wilcoxon signed-rank test (quantitative) and thematic analysis (qualitative).<BR>
<B>Key Findings</B>:<BR>
1.	<B>Quantitative results</B>:<BR>
o	IMES increased significantly post-course (Z = –2.35, p = .02).<BR>
o	Relatedness also increased significantly (Z = –2.11, p = .03).<BR>
o	Competence confirmed by self-perception, peer checklist, and grades .<BR>
2.	<B>Qualitative themes (5)</B>:<BR>
o	<I>Motivational experience</I> – role-play created immersion and enjoyment.<BR>
o	<I>Supportive peer interaction</I> – collaboration and encouragement boosted learning.<BR>
o	<I>Role-play setup</I> – authenticity of scenarios enhanced realism and language application.<BR>
o	<I>Learning value of playing the patient</I> – students gained vocabulary, empathy, and communication strategies.<BR>
o	<I>Novel patient perspective on the doctor’s role</I> – acting as patients increased appreciation for clear, empathetic communication .<BR>
3.	<B>Conclusion</B>:<BR>
o	Role-play enhanced <B>intrinsic motivation, relatedness, and competence</B>, supporting medical L2 learning.<BR>
o	The <B>patient role</B>, often overlooked, provided unique added value by offering perspective-taking, empathy, and insight into doctor–patient communication .<BR><BR>",,doi:10.34894/DB6OJ9,2025-10-23T17:05:57Z,2026-04-14T17:45:11.588231+00:00,DANS,doi_10.34894_DB6OJ9_Study_3__Second_Language_Learning_Role-Play__Effects_of_Patient_and_Doctor_Roles,v1.0,API-CALL
17,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/71HSDF,v1.1,Sanne Rovers - PhD data for study 4,"Study 4 (Chapter 5 in dissertation): The effects of a Biomedical Sciences curriculum reform on students’ perceived competency development.
In this study we report on the results of a longitudinal study aimed at investigating whether the curriculum reform within the Biomedical Sciences bachelor program had the desired effects on the self-perceived competency development of students.",,doi:10.34894/71HSDF,2021-06-03T08:32:41Z,2026-04-14T17:45:11.734576+00:00,DANS,doi_10.34894_71HSDF_Sanne_Rovers_-_PhD_data_for_study_4,v1.1,API-CALL
18,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/VWNYER,v1.1,Sanne Rovers - Phd project data for study 1,"Study 1 (Chapter 2 in dissertation): How and why do students use learning strategies? A mixed methods study on learning strategies and desirable difficulties with effective strategy users. 
This was a mixed methods study aimed at developing a model describing how effective strategy users manage their learning.",,doi:10.34894/VWNYER,2021-06-03T08:33:28Z,2026-04-14T17:45:14.279744+00:00,DANS,doi_10.34894_VWNYER_Sanne_Rovers_-_Phd_project_data_for_study_1,v1.1,API-CALL
19,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/7PFIDN,v1.0,Supplementary Data: Simulating past land use patterns; the impact of the Romans on the Lower-Rhine delta in the first century AD ,"This dataset cotains supplementary data for the journal article ""Simulating past land use patterns; the impact of the Romans on the Lower-Rhine delta in the first century AD"" published in the ""Journal of Archaeological Science Research""",,doi:10.34894/7PFIDN,2018-05-09T12:26:16Z,2026-04-14T17:45:16.873550+00:00,DANS,doi_10.34894_7PFIDN_Supplementary_Data__Simulating_past_land_use_patterns;_the_impact_of_the_Romans,v1.0,API-CALL
20,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/3LSWKE,v1.1,Tiuri van Rossum - PhD project data for study 2,study 2: The search for co-creation in competency-based medical education: an observational study. Observational study of educational meetings of teaching hospital departments. Departments where purposeful selected based on initial conversations with the clinical teachers of the departments,,doi:10.34894/3LSWKE,2019-06-19T07:36:01Z,2026-04-14T17:59:23.899137+00:00,DANS,doi_10.34894_3LSWKE_Tiuri_van_Rossum_-_PhD_project_data_for_study_2,v1.1,API-CALL
21,qualitative research data,5,https://dans.knaw.nl,https://doi.org/10.34894/3JD7YN,v1.0,"Replication Data for Chapter 3: Evaluating Cropping Intensity in Registered & Unregistered Farms - Evidence from Tharaka Nithi County, Kenya",Replication data for Chapter 3,,doi:10.34894/3JD7YN,2023-08-30T14:20:24Z,2026-04-14T17:59:26.537982+00:00,DANS,doi_10.34894_3JD7YN_Replication_Data_for_Chapter_3__Evaluating_Cropping_Intensity_in_Registered_&_Un,v1.0,API-CALL
